Vendor Name,Unit ID,4 Week Price,Start Date,End Date,Latitude,Longitude,Has Uploaded Creative Asset
Blackbelt Outdoor,CHE-01-CRD.1,1552.5,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,33.348649,-86.625181,true
Lamar,1836,800.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.39015,-80.19954,true
Lamar,2256,600.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.32985,-79.62082,true
Lamar,2515,1600.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.31203,-79.66349,true
Lamar,2859,250.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.20508,-79.75473,true
Lamar,2067,1200.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.31412,-79.8294,true
Penneco Outdoor,#4,1500.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.292541,-79.554467,true
Penneco Outdoor,#1,800.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.309378,-79.652698,true
Penneco Outdoor,#3,800.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.309775,-79.65,true
Penneco Outdoor,#8,700.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.398935,-79.577118,true
Penneco Outdoor,#2,800.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.30958,-79.65,true
Steel City Billboards,11-0451,3565.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.4174,-80.0151,true
Penneco Outdoor,#29,850.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.315337,-79.677111,true
Penneco Outdoor,#17,650.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.292466,-79.543813,true
Clear Channel,921267,1711.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,38.8962,-77.0238,true
Clear Channel,921256,1711.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,38.9372,-76.9864,true
Clear Channel,631004,1711.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,38.898822,-76.97597,true
Port Authority of Allegheny County,Pitt Bus Kings,20000.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.4406248,-79.9958864,true
Penneco Outdoor,#6,500.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.435849,-79.581882,true
Penneco Outdoor,#7,500.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.40229,-79.572039,true
Penneco Outdoor,#9,500.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.125906,-79.550361,true
Lamar,10992,1350.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,33.792135,-86.824705,true
Penneco Outdoor,#28,1100.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.236079,-79.621619,true
Clear Channel,920638,1711.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,38.93048726,-76.95836216,true
Clear Channel,920398,1711.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,38.873747,-76.971718,true
Clear Channel,Reagan Digital Transit Shelter Network 910190,1500.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,38.909573,-77.04507,true
Clear Channel,Reagan Digital Transit Shelter Network 910476,1500.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,38.901245,-77.046899,true
Clear Channel,Reagan Digital Transit Shelter Network 910625,1500.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,38.896421,-77.03208,true
Clear Channel,Reagan Digital Transit Shelter Network 911221,1500.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,38.893,-77.022,true
Clear Channel,Reagan Digital Transit Shelter Network 910233,1500.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,38.915683,-77.032106,true
Clear Channel,Reagan Digital Transit Shelter Network 910006,1500.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,38.906407,-77.04139,true
Quality Outdoor,B12A,1725.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,33.3334,-87.00241,true
Gateway Outdoor Advertising,Birmingham Bus Kings,17980.25,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,33.5206608,-86.80249,true
Penneco Outdoor,#18,700.0,4/1/2018 05:00 PM PDT,4/28/2018 05:00 PM PDT,40.399636,-79.582908,true
